origin_age_data_id,avg,cards,gender,merchants,txs
316,33.54191,694,F,347,1457
316,34.02829,351,M,207,650
317,43.78379,2723,F,784,5918
317,45.53103,1704,M,606,3056
318,56.95554,2468,F,806,4709
318,70.92898,1945,M,676,2920
319,68.20693,1623,F,703,2937
319,78.69976,1236,M,536,1947
320,82.66865,1023,F,549,1702
320,104.70223,754,M,407,1118
321,90.38365,453,F,345,720
321,124.04371,411,M,284,572
322,33.86902,20,F,24,41
322,47.39565,9,M,16,23
323,30.73532,32,F,72,111
323,46.49644,30,M,62,90
324,94.34149,33,F,92,141
324,78.12587,33,M,50,63
325,86.20372,19,F,34,43
325,92.33387,39,M,58,75
326,76.42966,21,F,51,59
326,156.87308,30,M,53,65
327,127.66348,14,F,45,66
327,236.005,17,M,26,36
328,118.19595,2634,U,1011,5356
329,26.11594,44,F,102,160
329,29.18176,31,M,46,74
330,33.53681,201,F,330,992
330,40.06691,148,M,224,569
331,38.67496,221,F,377,1173
331,37.8868,136,M,200,460
332,46.80547,188,F,323,992
332,52.23528,101,M,172,400
333,55.79414,189,F,309,773
333,65.03058,113,M,182,397
334,67.94625,191,F,238,669
334,56.94137,111,M,137,292
335,39.63082,38,F,63,98
335,32.54596,28,M,34,52
336,41.84073,167,F,232,521
336,34.07221,108,M,135,335
337,45.07711,170,F,241,515
337,38.64542,89,M,114,225
338,47.92885,115,F,153,287
338,172.35401,78,M,97,162
339,61.33498,118,F,149,311
339,77.24885,65,M,77,139
340,64.14478,100,F,123,224
340,104.3743,71,M,67,135
341,45.57,28,F,34,52
341,35.75,15,M,25,29
342,44.5709,125,F,135,290
342,47.3774,87,M,111,169
343,48.43615,164,F,189,379
343,56.67146,82,M,98,144
344,64.41289,132,F,163,357
344,42.68217,68,M,80,152
345,57.00833,100,F,110,204
345,46.40217,53,M,46,69
346,71.67654,98,F,108,185
346,70.99013,53,M,52,79
347,35.10071,18,F,26,28
347,21.87,14,M,18,22
348,45.23177,115,F,136,243
348,37.7918,72,M,94,139
349,48.07059,117,F,141,272
349,46.52876,74,M,78,137
350,47.45398,130,F,128,266
350,53.66266,79,M,85,139
351,60.3924,139,F,137,233
351,78.80183,54,M,55,71
352,73.22288,112,F,107,156
352,76.47563,51,M,52,71
353,52.21162,25,F,28,37
353,112.31,12,M,14,15
354,37.45854,140,F,147,294
354,40.06434,75,M,90,129
355,43.987,157,F,155,340
355,48.01377,79,M,81,122
356,44.09384,132,F,118,242
356,56.49963,52,M,57,82
357,53.10458,111,F,118,212
357,54.51192,47,M,44,73
358,62.09775,113,F,91,173
358,70.84774,28,M,26,53
359,17.07636,98,E,95,247
360,26.67926,20,F,24,27
360,42.086,7,M,10,10
361,49.70218,123,F,124,238
361,52.70547,73,M,97,139
362,45.62471,103,F,129,223
362,55.93328,67,M,83,125
363,81.99358,94,F,116,179
363,80.04869,41,M,45,61
364,65.49661,87,F,87,112
364,68.93786,40,M,42,56
365,49.94356,89,F,82,132
365,99.79271,33,M,36,48
366,26.29083,8,F,11,12
366,20.09034,12,M,21,29
367,54.81077,77,F,122,183
367,41.07386,46,M,63,88
368,58.32693,81,F,119,212
368,57.93972,53,M,74,107
369,61.66,71,F,106,167
369,83.71088,36,M,41,57
370,98.21172,54,F,81,93
370,83.08816,28,M,35,38
371,66.18269,47,F,53,67
371,396.42471,14,M,17,17
372,40.06762,16,F,20,21
372,65.725,6,M,6,6
373,36.77264,68,F,96,125
373,48.91592,53,M,61,76
374,66.44203,89,F,109,158
374,64.63213,56,M,59,89
375,46.12588,82,F,106,165
375,67.62299,55,M,61,97
376,83.33462,74,F,87,132
376,65.58381,25,M,31,42
377,89.33058,55,F,73,86
377,55.35138,24,M,27,29
378,26.54316,11,F,16,19
378,17.34833,8,M,10,12
379,41.02308,60,F,89,146
379,56.40693,43,M,61,75
380,76.71128,79,F,103,172
380,75.6688,52,M,73,100
381,58.9815,76,F,97,127
381,63.56844,44,M,51,77
382,48.86787,48,F,48,61
382,115.97825,24,M,30,40
383,57.76118,50,F,55,85
383,56.00296,23,M,24,27
384,35.51417,19,F,17,24
384,19.48538,7,M,10,13
385,45.05296,66,F,88,142
385,47.02359,40,M,51,64
386,54.87313,58,F,83,115
386,86.99842,38,M,57,101
386,7.86,0,filtered,0,1
387,61.94213,46,F,63,80
387,90.81838,23,M,24,37
388,74.19429,42,F,51,70
388,194.81432,23,M,30,37
389,91.36633,34,F,45,49
389,179.85813,14,M,15,16
390,47.269,14,F,14,20
390,23.59,10,M,14,16
391,37.48275,80,F,88,142
391,45.94388,40,M,53,67
392,56.31977,123,F,132,220
392,43.54481,83,M,83,162
393,42.40555,91,F,106,173
393,54.94642,43,M,48,81
394,68.52543,53,F,54,70
394,31.90714,17,M,17,21
395,90.37257,24,F,32,35
395,118.776,17,M,18,20
