id,avg,cards,age,merchants,txs,zipcode_id,date,origin_zipcode
350,49.58486,209,45-54,190,405,285,201502,28007
351,64.69197,193,55-64,178,304,285,201502,28007
352,74.24026,163,>=65,145,227,285,201502,28007
353,69.54769,37,<=24,40,52,285,201502,28028
354,38.25322,215,25-34,199,423,285,201502,28028
355,45.05035,236,35-44,215,462,285,201502,28028
356,47.23358,184,45-54,160,324,285,201502,28028
357,53.46506,158,55-64,151,285,285,201502,28028
358,64.14974,141,>=65,109,226,285,201502,28028
359,17.07636,98,Unknown,95,247,285,201502,28002
360,30.84324,27,<=24,33,37,285,201502,28002
361,50.80949,196,25-34,190,377,285,201502,28002
362,49.3275,170,35-44,194,348,285,201502,28002
363,81.49925,135,45-54,150,240,285,201502,28002
364,66.64369,127,55-64,119,168,285,201502,28002
365,63.23667,122,>=65,107,180,285,201502,28002
366,21.90512,20,<=24,31,41,285,201502,28010
367,50.35008,123,25-34,169,271,285,201502,28010
368,58.19705,134,35-44,179,319,285,201502,28010
369,67.27116,107,45-54,140,224,285,201502,28010
370,93.82473,82,55-64,111,131,285,201502,28010
371,133.01738,61,>=65,69,84,285,201502,28010
372,45.76926,22,<=24,25,27,285,201502,28043
373,41.36413,121,25-34,143,201,285,201502,28043
374,65.78988,145,35-44,151,247,285,201502,28043
375,54.08473,137,45-54,154,262,285,201502,28043
376,79.04994,99,55-64,111,174,285,201502,28043
377,80.76191,79,>=65,95,115,285,201502,28043
378,22.98387,19,<=24,26,31,285,201502,28033
379,46.24384,103,25-34,135,221,285,201502,28033
380,76.32802,131,35-44,160,272,285,201502,28033
381,60.71284,120,45-54,137,204,285,201502,28033
382,75.44624,72,55-64,77,101,285,201502,28033
383,57.33732,73,>=65,76,112,285,201502,28033
384,29.88243,26,<=24,27,37,285,201502,28003
385,45.66519,106,25-34,124,206,285,201502,28003
386,69.6088,97,35-44,131,217,285,201502,28003
387,71.07394,69,45-54,83,117,285,201502,28003
388,115.90402,65,55-64,81,107,285,201502,28003
389,113.14893,48,>=65,57,65,285,201502,28003
390,36.745,24,<=24,27,36,285,201502,28045
391,40.19517,120,25-34,125,209,285,201502,28045
392,50.90212,206,35-44,194,382,285,201502,28045
393,46.4048,134,45-54,139,254,285,201502,28045
394,60.07506,70,55-64,67,91,285,201502,28045
395,100.70109,41,>=65,47,55,285,201502,28045
396,23.52867,24,<=24,31,45,285,201502,28016
397,54.72827,78,25-34,114,167,285,201502,28016
398,69.19529,103,35-44,109,168,285,201502,28016
399,60.83018,72,45-54,87,111,285,201502,28016
400,82.49935,71,55-64,84,124,285,201502,28016
401,84.84607,76,>=65,91,117,285,201502,28016
402,26.4916,28,<=24,33,50,285,201502,28027
403,36.23545,100,25-34,102,145,285,201502,28027
404,48.0471,116,35-44,110,186,285,201502,28027
405,46.88795,160,45-54,153,288,285,201502,28027
406,70.92178,105,55-64,112,163,285,201502,28027
407,72.56917,78,>=65,74,109,285,201502,28027
408,27.869,29,<=24,38,50,285,201502,28036
409,46.50114,105,25-34,136,202,285,201502,28036
410,62.18743,80,35-44,117,175,285,201502,28036
411,67.13045,82,45-54,94,133,285,201502,28036
412,132.44013,50,55-64,62,77,285,201502,28036
413,94.13282,57,>=65,58,78,285,201502,28036
414,21.39156,16,<=24,23,32,285,201502,28050
415,58.40722,99,25-34,113,176,285,201502,28050
416,54.54033,235,35-44,218,428,285,201502,28050
417,41.9598,95,45-54,123,200,285,201502,28050
418,39.14667,24,55-64,32,54,285,201502,28050
419,40.72727,9,>=65,10,11,285,201502,28050
420,33.49631,16,<=24,27,38,285,201502,28005
421,35.23995,93,25-34,109,179,285,201502,28005
422,48.64603,129,35-44,148,259,285,201502,28005
423,67.98563,98,45-54,110,158,285,201502,28005
424,95.78941,75,55-64,82,119,285,201502,28005
425,57.11563,22,>=65,28,32,285,201502,28005
426,36.87586,18,<=24,24,29,285,201502,28023
427,48.55948,87,25-34,143,231,285,201502,28023
428,82.56631,94,35-44,114,160,285,201502,28023
429,69.30403,75,45-54,93,119,285,201502,28023
430,78.50857,36,55-64,54,63,285,201502,28023
431,139.07743,24,>=65,32,35,285,201502,28023
432,33.6405,31,<=24,47,60,285,201502,28035
433,42.69593,100,25-34,120,194,285,201502,28035
434,56.6765,100,35-44,105,160,285,201502,28035
435,90.85302,67,45-54,85,119,285,201502,28035
436,79.84244,70,55-64,81,123,285,201502,28035
437,77.24565,35,>=65,37,46,285,201502,28035
438,22.216,22,<=24,23,25,285,201502,28030
439,35.53357,89,25-34,104,165,285,201502,28030
440,52.77103,123,35-44,131,214,285,201502,28030
441,47.24126,126,45-54,112,199,285,201502,28030
442,59.42691,98,55-64,89,152,285,201502,28030
443,47.8809,64,>=65,58,100,285,201502,28030
444,33.12844,22,<=24,25,32,285,201502,28004
445,43.30949,111,25-34,135,215,285,201502,28004
446,66.0362,107,35-44,119,192,285,201502,28004
447,70.44317,77,45-54,94,120,285,201502,28004
448,85.69742,39,55-64,47,62,285,201502,28004
449,80.3286,27,>=65,38,50,285,201502,28004
450,19.23261,14,<=24,15,23,285,201502,28020
451,42.02025,107,25-34,129,200,285,201502,28020
452,58.38171,86,35-44,109,140,285,201502,28020
453,65.98207,60,45-54,95,126,285,201502,28020
454,84.60821,48,55-64,60,84,285,201502,28020
455,107.20863,50,>=65,62,73,285,201502,28020
456,15.342,9,<=24,18,30,285,201502,28014
457,36.20616,59,25-34,110,164,285,201502,28014
458,57.78581,58,35-44,87,124,285,201502,28014
459,45.45573,69,45-54,107,150,285,201502,28014
460,85.10371,58,55-64,81,108,285,201502,28014
461,106.73086,44,>=65,60,93,285,201502,28014
462,25.06357,20,<=24,25,28,285,201502,28034
463,31.95711,101,25-34,132,225,285,201502,28034
464,58.95907,85,35-44,104,140,285,201502,28034
465,51.3675,81,45-54,94,148,285,201502,28034
466,92.23785,67,55-64,76,107,285,201502,28034
467,133.70674,38,>=65,38,43,285,201502,28034
468,33.82147,19,<=24,30,34,285,201502,28015
469,36.74756,115,25-34,137,225,285,201502,28015
470,57.3178,89,35-44,123,182,285,201502,28015
471,85.84176,64,45-54,89,119,285,201502,28015
472,60.78859,49,55-64,55,64,285,201502,28015
473,66.42717,38,>=65,40,46,285,201502,28015
474,35.57146,22,<=24,34,41,285,201502,28109
475,33.56791,44,25-34,82,110,285,201502,28109
476,77.83106,60,35-44,61,104,285,201502,28109
477,74.8105,70,45-54,77,120,285,201502,28109
478,105.64156,39,55-64,54,77,285,201502,28109
479,114.37125,22,>=65,29,32,285,201502,28109
480,28.32864,15,<=24,19,22,285,201502,28032
481,67.08506,45,25-34,56,91,285,201502,28032
482,39.19915,119,35-44,116,226,285,201502,28032
483,50.96818,108,45-54,116,176,285,201502,28032
484,57.66156,30,55-64,44,64,285,201502,28032
485,60.37214,13,>=65,14,14,285,201502,28032
486,95.11586,14,<=24,22,29,285,201502,28008
487,46.13734,65,25-34,102,128,285,201502,28008
488,78.7667,59,35-44,80,100,285,201502,28008
489,58.75884,40,45-54,47,69,285,201502,28008
490,74.35109,41,55-64,51,64,285,201502,28008
491,116.51097,25,>=65,26,31,285,201502,28008
492,27.22457,20,<=24,25,35,285,201502,28017
493,29.91833,90,25-34,101,150,285,201502,28017
494,43.98599,95,35-44,97,162,285,201502,28017
495,38.56717,90,45-54,82,138,285,201502,28017
496,52.80296,68,55-64,59,91,285,201502,28017
497,70.23678,50,>=65,41,59,285,201502,28017
498,51.39465,23,<=24,28,43,285,201502,28223
499,39.33609,48,25-34,62,92,285,201502,28223
500,48.17713,43,35-44,79,101,285,201502,28223
501,83.0359,61,45-54,71,95,285,201502,28223
502,93.0741,37,55-64,51,61,285,201502,28223
503,81.0531,22,>=65,25,29,285,201502,28223
504,27.32875,17,<=24,20,24,285,201502,28230
505,46.20111,42,25-34,51,63,285,201502,28230
506,69.33377,55,35-44,66,85,285,201502,28230
507,56.72845,67,45-54,87,122,285,201502,28230
508,86.08598,48,55-64,56,92,285,201502,28230
509,67.09334,16,>=65,20,24,285,201502,28230
510,18.65913,11,<=24,13,23,285,201502,28012
511,42.05041,56,25-34,86,122,285,201502,28012
512,57.88944,62,35-44,87,124,285,201502,28012
513,66.73944,44,45-54,54,71,285,201502,28012
514,57.23213,26,55-64,45,61,285,201502,28012
515,82.1625,13,>=65,26,36,285,201502,28012
516,20.94437,11,<=24,16,16,285,201502,28042
517,32.36939,51,25-34,61,99,285,201502,28042
518,44.69819,84,35-44,105,171,285,201502,28042
519,49.84577,58,45-54,66,97,285,201502,28042
520,56.00662,46,55-64,51,74,285,201502,28042
521,80.63296,37,>=65,38,44,285,201502,28042
522,22.16428,12,<=24,14,21,285,201502,28029
523,46.62197,80,25-34,84,117,285,201502,28029
524,40.41181,85,35-44,88,144,285,201502,28029
525,63.98783,33,45-54,34,46,285,201502,28029
526,84.82617,42,55-64,46,60,285,201502,28029
527,75.37703,31,>=65,30,37,285,201502,28029
528,24.91542,15,<=24,18,24,285,201502,28039
529,39.062,50,25-34,53,75,285,201502,28039
530,60.78338,83,35-44,88,148,285,201502,28039
531,72.23522,48,45-54,53,67,285,201502,28039
532,58.13567,23,55-64,27,37,285,201502,28039
533,138.78895,17,>=65,18,19,285,201502,28039
534,44.49833,10,<=24,10,12,285,201502,28224
535,31.74052,39,25-34,58,77,285,201502,28224
536,42.50271,57,35-44,80,107,285,201502,28224
537,82.07466,50,45-54,52,73,285,201502,28224
538,56.1298,44,55-64,74,101,285,201502,28224
539,106.96833,17,>=65,16,18,285,201502,28224
540,27.5,7,<=24,14,16,285,201502,28220
541,60.1241,41,25-34,49,61,285,201502,28220
542,84.26959,36,35-44,56,73,285,201502,28220
543,63.97119,29,45-54,33,42,285,201502,28220
